,0,1
Debt ratio _,0.11071438040147158,0.18704702800902576
Net worth_Assets,0.8892856195985285,0.8129529719909743
Long_term fund suitability ratio _A_,0.008695765334106063,0.011391392931681643
Borrowing dependency,0.3741293547263847,0.3904001046785497
Contingent liabilities_Net worth,0.005811495822699795,0.01067100793692994
Operating profit_Paid_in capital,0.10969243064059014,0.08750745769286002
Net profit before tax_Paid_in capital,0.18388329044514895,0.14767249830329535
Inventory and accounts receivable_Net value,0.40227620612972925,0.4079522298652738
Total Asset Turnover,0.1428597718113212,0.10398664304211534
Accounts Receivable Turnover,13031216.85317058,5545454.549114067
Average Collection Days,10133050.469789904,622727.2832814403
Inventory Turnover Rate _times_,2149921927.5658855,2124633636.3639677
Fixed Assets Turnover Frequency,975657432.9463946,1996602727.2744558
Net Worth Turnover Rate _times_,0.03845382242666289,0.04283137829912024
Revenue per person,1335050.8007497133,32045454.582498755
Operating profit per person,0.40122564179745235,0.384034734628344
Allocation rate per person,11103682.391509261,15818181.851771312
Working Capital to Total Assets,0.8162069634997344,0.7516808358058247
Quick Assets_Total Assets,0.40331756064879637,0.3045738445268893
Current Assets_Total Assets,0.5240583876554068,0.46873333351451324
Cash_Total Assets,0.12664023276893469,0.047735963348809564
Quick Assets_Current Liability,3712683.7519437457,0.005020995590885837
Cash_Current Liability,29899530.245293964,254940909.0936698
Current Liability to Assets,0.0888870143456048,0.1442380840453663
Operating Funds to Liability,0.354322637843127,0.3389912408104705
Inventory_Working Capital,0.27739874978289997,0.27728581224746573
Inventory_Current Liability,55719442.34883376,58427272.7333497
Current Liabilities_Liability,0.7623840953587465,0.7380459135546314
Working Capital_Equity,0.7361304170361398,0.7264012133932295
Current Liabilities_Equity,0.33103098724531244,0.3427724798883023
Long_term Liability to Current Assets,54078996.824429646,56590909.110237986
Retained Earnings to Total Assets,0.9357492100831155,0.9042436956980161
Total income_Total expense,0.002564702761902213,0.0020763013555239454
Total expense_Assets,0.02849487708271609,0.04985763162213722
Current Asset Turnover Rate,1189711557.8123188,1380154000.0006287
Quick Asset Turnover Rate,2147829492.347737,2640836363.6365185
Working capitcal Turnover Rate,0.5940110002161714,0.5938642475793973
Cash Turnover Rate,2481653241.5521736,2181732727.2727785
Cash Flow to Sales,0.6715299645913345,0.6715552726240712
Fixed Assets to Assets,0.24688649087039938,37818182.14152369
Current Liability to Liability,0.7623840953587465,0.7380459135546314
Current Liability to Equity,0.33103098724531244,0.3427724798883023
Equity to Long_term Liability,0.11514899413627971,0.13051211931105985
Cash Flow to Total Assets,0.6503399574931823,0.6314523406122875
Cash Flow to Liability,0.46208500817563725,0.4547776784039607
CFO to Assets,0.5946487243252321,0.5564115470877161
Cash Flow to Equity,0.31572096994008664,0.3114256185935046
Current Liability to Current Assets,0.030541663029235132,0.06044306228125341
Liability_Assets Flag,0.00030307622367025305,0.02727272727272727
Net Income to Total Assets,0.8100831300180976,0.738083479271813
Total assets to GNP price,16216699.508470878,91000000.01141137
No_credit Interval,0.6239270205699639,0.6235412572664686
Gross Profit to Sales,0.6082556442026659,0.5986686282392156
Net Income to Stockholder_s Equity,0.8408819416444058,0.8260079354600965
Liability to Equity,0.27992466685632783,0.29357776093181887
Degree of Financial Leverage _DFL_,0.027511059189571033,0.028442789732764984
Interest Coverage Ratio _Interest expense to EBIT_,0.5653712250851181,0.5649592478058245
Net Income Flag,1.0,1.0
Equity to Liability,0.04833669146541758,0.0248317554288813
class,0.0,1.0
